,Risk,Leverage
AAON,0.2222222222222222,3.697927333483166
AAT,0.1111111111111111,4.178923390865
AAWW,0.0,1.8196574293052785
ABCB,0.5555555555555556,10.25130867818777
ABG,0.16666666666666666,2.6117991246617738
ABM,0.3333333333333333,4.994774965032313
ABR,0.16666666666666666,4.73614144626841
ABTX,0.3333333333333333,5.157571431288616
ABUS,0.16666666666666666,3.266097465996495
AC,0.1111111111111111,4.3116314022762445
ACA,0.7777777777777778,-8.463649098929249
ACAD,0.8333333333333334,-5.900928913404981
ACBI,0.1111111111111111,2.5364492886506436
ACCO,0.5,6.94220935891261
ACEL,0.16666666666666666,4.990661064166354
ACET,0.2222222222222222,2.864184489154274
ACIW,0.6111111111111112,-9.108433570622612
ACLS,0.16666666666666666,4.669424265771888
ACRE,0.3333333333333333,10.552820483980044
ACRS,0.3888888888888889,9.853744823889642
ACTG,0.16666666666666666,4.830998675730762
ADC,0.16666666666666666,3.393256515347061
ADN,0.0,5.010530220918082
ADNT,0.5,15.787458248786757
ADTN,0.1111111111111111,3.516444476899263
ADUS,0.5555555555555556,25.474167149834784
ADVM,1.0,0.19390281986784053
AEIS,0.5,15.797248050545976
AEL,0.2222222222222222,3.8817657011345665
AEO,0.16666666666666666,2.892318478275183
AERI,0.2777777777777778,6.795810408694072
AFIN,0.4444444444444444,15.64756722050246
AFMD,0.5555555555555556,6.930704677512542
AGEN,0.16666666666666666,3.5142823128856717
AGIO,0.7777777777777778,-10.462900174597017
AGLE,0.7777777777777778,-53.89485473829768
AGM,0.05555555555555555,2.266786216479308
AGS,0.2222222222222222,3.043210440868771
AGX,0.3888888888888889,4.723534741999663
AGYS,0.3333333333333333,7.87306852408101
AHCO,0.5555555555555556,21.136666172333342
AHH,0.05555555555555555,6.228272424859738
AHT,0.3888888888888889,7.378504092250578
AIMC,0.7222222222222222,-8.230872071021212
AIN,0.4444444444444444,11.583825664634833
AIR,0.4444444444444444,19.03136785728511
AIT,0.16666666666666666,3.717433003106071
AIV,0.16666666666666666,4.590656717752275
AJRD,0.8888888888888888,-0.1252807766292012
AJX,0.05555555555555555,1.5887598320851486
AKBA,0.3333333333333333,3.655577094371487
AKR,0.2222222222222222,4.5473228193003
AKRO,0.3333333333333333,6.238203803557347
AKTS,0.5555555555555556,12.529809925805898
ALBO,0.7222222222222222,-10.368270118766375
ALDX,0.7222222222222222,-5.028054400914705
ALE,0.3888888888888889,5.546767921305233
ALEC,0.1111111111111111,3.781278555534881
ALEX,0.0,2.4406829777224823
ALG,0.3888888888888889,5.989817705217028
ALGT,0.7777777777777778,-10.570014372902724
ALKS,0.05555555555555555,3.167972881876748
ALLK,1.0,0.16975437899579668
ALLO,0.6666666666666666,-8.640368299989055
ALPN,0.2777777777777778,5.031322095310133
ALRM,0.2777777777777778,6.893282348925472
ALRS,0.16666666666666666,4.195134608433212
ALT,0.3333333333333333,6.773665762235606
ALTG,0.1111111111111111,4.15300755658336
ALTM,0.05555555555555555,2.4603177368142437
ALTO,0.8333333333333334,-4.330839623341482
ALTR,0.2777777777777778,6.430846508165089
ALX,0.3888888888888889,4.835776261979614
AMAL,0.3333333333333333,5.826073840457541
AMBA,0.2777777777777778,4.002790620053866
